Data_Estudo_EPE,Submercado,Ano_referencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Jan-dez
2020-2024,4,2022,13167,12931,13673,12020,11750,11789,11942,11981,11834,12062,12339,12478,12329
2020-2024,4,2023,13646,13400,14170,12456,12177,12217,12376,12416,12264,12501,12788,12932,12777
2020-2024,4,2024,14145,13890,14688,12912,12622,12664,12828,12870,12712,12958,13255,13405,13246
2020-2024,5,2020,70681,71352,68795,60285,61422,61301,63642,64824,65696,67256,67652,67564,65866
2020-2024,5,2021,70344,70894,72843,68735,66816,65740,65680,67163,68202,69298,68980,69007,68631
2020-2024,5,2022,73078,73649,75673,71411,69418,68299,68236,69777,70857,71995,71666,71694,71302
2020-2024,5,2023,75762,76353,78451,74034,71968,70808,70740,72337,73457,74639,74300,74329,73920
2020-2024,5,2024,78514,79124,81297,76725,74584,73381,73310,74964,76125,77350,77001,77031,76612
2021-2025,1,2021,5595,5728,5838,6036,6030,5914,5912,6053,6161,6151,6148,5940,5960
2021-2025,1,2022,5922,6042,6144,6106,6152,6057,5960,6226,6339,6329,6325,6107,6142
2021-2025,1,2023,6108,6232,6337,6298,6345,6247,6147,6421,6538,6528,6524,6300,6336
2021-2025,1,2024,6343,6471,6580,6540,6589,6487,6383,6668,6789,6778,6774,6541,6578
2021-2025,1,2025,6557,6745,6745,6761,6812,6706,6599,6893,7019,7007,7003,6763,6801
2021-2025,2,2021,11762,11721,11404,11189,10909,10847,10927,11110,11438,12030,12243,12121,11474
2021-2025,2,2022,12200,12077,12048,11859,11732,11240,11005,11328,11622,12221,12437,12313,11839
2021-2025,2,2023,12689,12561,12531,12335,12203,11691,11446,11782,12088,12711,12935,12806,12313
2021-2025,2,2024,13197,13063,13033,12828,12691,12159,11903,12254,12572,13220,13453,13319,12807
2021-2025,2,2025,13734,13569,13450,13351,13209,12655,12391,12754,13085,13758,14001,13862,13317
2021-2025,3,2021,42112,42342,42499,39709,39130,38253,36842,39021,40634,41641,40983,40961,40332
2021-2025,3,2022,43479,43798,43516,42285,40048,39252,38907,39769,41159,42181,41514,41491,41435
2021-2025,3,2023,45003,45333,45041,43767,41452,40627,40271,41163,42602,43659,42969,42946,42887
2021-2025,3,2024,46514,46855,46554,45237,42844,41959,41591,42523,44033,45125,44412,44388,44327
2021-2025,3,2025,48103,49009,47644,46782,44307,43426,43045,43998,45537,46666,45928,45904,45841
2021-2025,4,2021,12958,13253,13069,12013,11584,11693,11519,11405,11687,12058,12349,12575,12174
2021-2025,4,2022,13608,13862,13242,12635,11878,11978,11970,11961,11881,12207,12553,12783,12539
2021-2025,4,2023,14123,14387,13743,13113,12328,12431,12423,12414,12331,12669,13028,13267,13013
2021-2025,4,2024,14651,14924,14257,13603,12788,12886,12864,12868,12791,13143,13515,13763,13500
2021-2025,4,2025,15198,15710,14583,14111,13266,13378,13369,13359,13269,13634,14020,14277,14004
2021-2025,5,2021,72427,73043,72809,68946,67652,66707,65200,67589,69921,71881,71723,71597,69940
2021-2025,5,2022,75208,75778,74950,72885,69810,68527,67843,69284,71001,72937,72828,72695,71955
2021-2025,5,2023,77923,78512,77653,75513,72327,70997,70288,71780,73559,75567,75456,75319,74550
2021-2025,5,2024,80704,81314,80424,78208,74912,73491,72740,74312,76185,78266,78154,78011,77212
2021-2025,5,2025,83592,85033,82422,81005,77594,76165,75404,77005,78909,81066,80953,80805,79963
2022-2026,1,2022,5718,5879,5721,5879,6044,6092,6296,6615,6834,7406,7373,7250,6429
2022-2026,1,2023,6855,6981,7087,7048,7096,6996,6895,7173,7291,7528,7524,7297,7148
2022-2026,1,2024,7159,7290,7400,7359,7409,7306,7201,7489,7612,7600,7596,7533,7413
2022-2026,1,2025,7632,7830,7829,7846,7900,7789,7676,7986,8118,8106,8102,7848,7888
2022-2026,1,2026,7898,8043,8167,8121,8177,8061,7944,8266,8403,8391,8386,8123,8165
2022-2026,2,2022,11248,11832,11574,11470,11118,10606,10533,11008,11293,12284,12393,12319,11471
2022-2026,2,2023,12064,11942,11914,11726,11600,11110,10877,11198,11490,12353,12568,12444,11773
2022-2026,2,2024,12579,12452,12423,12228,12097,11589,11345,11680,11983,12601,12823,12696,12207
2022-2026,2,2025,13063,12906,12793,12699,12563,12037,11786,12131,12445,13086,13317,13185,12666
2022-2026,2,2026,13586,13449,13418,13207,13066,12518,12256,12616,12943,13610,13851,13712,13184
2022-2026,3,2022,41487,42861,44673,41696,38916,37876,37942,38759,40115,41601,41169,40943,40657
2022-2026,3,2023,43572,43891,43609,42375,40134,39335,38990,39854,41247,42271,41602,41580,41523
2022-2026,3,2024,44952,45282,44991,43718,41405,40551,40194,41095,42554,43610,42920,42897,42839
2022-2026,3,2025,46433,47307,45990,45158,42769,41918,41550,42471,43956,45046,44334,44310,44250
2022-2026,3,2026,47853,48204,47894,46539,44078,43201,42822,43770,45301,46425,45691,45666,45604
2022-2026,4,2022,13778,13755,13100,11580,11555,11701,11352,11657,11672,12563,12977,13094,12392
2022-2026,4,2023,13794,14051,13423,12671,11904,12006,11998,11988,11907,12644,12994,13228,12710
2022-2026,4,2024,14266,14532,13882,13245,12452,12547,12525,12529,12455,12797,13160,13401,13145
2022-2026,4,2025,14769,15266,14171,13712,12891,12999,12991,12981,12894,13248,13624,13873,13608
2022-2026,4,2026,15280,15564,14868,14187,13337,13449,13440,13430,13340,13706,14095,14353,14079
2022-2026,5,2022,72230,74327,75068,70626,67632,66275,66123,68039,69914,73854,73912,73606,70948
2022-2026,5,2023,76285,76865,76032,73820,70733,69447,68759,70213,71936,74795,74688,74548,73154
2022-2026,5,2024,78956,79555,78695,76550,73363,71992,71265,72794,74604,76608,76499,76527,75604
2022-2026,5,2025,81896,83309,80783,79415,76123,74744,74003,75569,77413,79487,79376,79216,78412
2022-2026,5,2026,84617,85261,84347,82054,78657,77229,76462,78082,79987,82132,82022,81854,81032
2023-2027,1,2023,6605,6791,6895,6856,6903,6806,6708,6978,7094,7083,7079,6858,6888
2023-2027,1,2024,7005,7133,7241,7200,7249,7148,7046,7327,7448,7437,7432,7202,7239
2023-2027,1,2025,7229,7416,7415,7431,7482,7377,7271,7562,7687,7857,7855,7606,7516
2023-2027,1,2026,7716,7858,7978,7933,7987,7875,7761,8074,8208,8196,8191,7935,7976
2023-2027,1,2027,7957,8103,8228,8181,8237,8121,8003,8327,8466,8453,8448,8183,8226
2023-2027,2,2023,11600,11815,11787,11602,11478,10997,10767,11083,11370,11956,12167,12046,11554
2023-2027,2,2024,12394,12269,12240,12048,11919,11419,11178,11509,11807,12415,12635,12509,12028
2023-2027,2,2025,12918,12762,12650,12558,12423,11903,11654,11996,12307,12940,13169,13038,12525
2023-2027,2,2026,13479,13343,13312,13103,12963,12419,12159,12516,12841,13503,13741,13604,13080
2023-2027,2,2027,13998,13857,13824,13607,13462,12897,12628,12998,13335,14022,14270,14128,13584
2023-2027,3,2023,42978,43294,43015,41798,39587,38800,38459,39311,40686,41695,41036,41014,40958
2023-2027,3,2024,44362,44687,44400,43144,40861,40018,39666,40555,41995,43037,42357,42334,42276
2023-2027,3,2025,45850,46714,45413,44591,42232,41392,41029,41938,43404,44481,43778,43754,43695
2023-2027,3,2026,47258,47605,47299,45961,43529,42664,42289,43226,44737,45847,45122,45098,45037
2023-2027,3,2027,48688,49045,48730,47351,44846,43954,43568,44534,46091,47234,46487,46462,46399
2023-2027,4,2023,13248,13652,13042,12444,11698,11797,11789,11780,11701,12022,12363,12590,12336
2023-2027,4,2024,13910,14169,13535,12915,12141,12234,12213,12216,12144,12478,12831,13066,12817
2023-2027,4,2025,14464,14951,13879,13429,12625,12731,12723,12713,12628,12975,13343,13587,13327
2023-2027,4,2026,15025,15305,14621,13951,13115,13225,13217,13207,13118,13478,13860,14114,13845
2023-2027,4,2027,15601,15892,15182,14486,13618,13733,13723,13713,13621,13995,14392,14656,14375
2023-2027,5,2023,74431,75552,74739,72700,69667,68399,67722,69152,70850,72757,72646,72507,71736
2023-2027,5,2024,77670,78257,77415,75307,72171,70819,70103,71608,73394,75367,75255,75111,74359
2023-2027,5,2025,80461,81843,79357,78009,74762,73403,72677,74210,76026,78253,78144,77985,77063
2023-2027,5,2026,83478,84111,83209,80947,77594,76183,75426,77023,78904,81024,80915,80752,79938
2023-2027,5,2027,86244,86897,85963,83625,80163,78705,77923,79572,81513,83705,83598,83429,82585
2024-2028,1,2024,7243,7373,7439,7558,7715,7732,7767,8047,8149,8080,7911,7703,7727
2024-2028,1,2025,7535,7776,7942,8102,8192,8117,8082,8425,8560,8475,8262,8039,8127
2024-2028,1,2026,7820,8305,8405,8536,8579,8535,8473,8808,8984,8902,8711,8420,8540
2024-2028,1,2027,8222,8544,8651,8786,8831,8785,8723,9073,9253,9165,8967,8666,8806
2024-2028,1,2028,8483,8776,8927,9068,9116,9066,9004,9370,9556,9465,9256,8945,9086
2024-2028,2,2024,13280,13291,13593,13260,12977,12355,12308,12512,12957,13506,13565,13341,13078
2024-2028,2,2025,13798,13879,13757,13527,13289,12819,12865,13224,13696,14288,14287,14040,13621
2024-2028,2,2026,14460,14601,14366,14175,13926,13434,13482,13858,14352,14973,14972,14713,14274
2024-2028,2,2027,14944,15090,14847,14650,14393,13884,13934,14323,14833,15475,15473,15206,14752
2024-2028,2,2028,15422,15572,15321,15118,14852,14327,14379,14780,15307,15969,15968,15692,15224
2024-2028,3,2024,45264,47051,47772,46931,45335,42709,40786,41909,42986,44836,44477,44504,44536
2024-2028,3,2025,48243,49576,47959,46746,44741,43591,43229,44083,45695,46287,45916,45944,45977
2024-2028,3,2026,49541,49662,50377,48003,45944,44764,44393,45269,46924,47532,47151,47180,47214
2024-2028,3,2027,50957,51082,51817,49376,47258,46044,45662,46564,48266,48891,48499,48529,48564
2024-2028,3,2028,52396,52524,53281,50770,48592,47343,46950,47878,49628,50271,49868,49899,49942
2024-2028,4,2024,13832,15560,14681,13925,12969,12900,12874,12964,13051,13122,13744,14117,13637
2024-2028,4,2025,15324,15675,14589,13953,13312,13352,13371,13459,13320,13658,14291,14647,14070
2024-2028,4,2026,15813,15854,15345,14398,13737,13778,13798,13888,13745,14094,14747,15114,14519
2024-2028,4,2027,16337,16380,15853,14875,14192,14235,14255,14348,14201,14561,15235,15615,15000
2024-2028,4,2028,16880,16924,16380,15369,14663,14707,14728,14825,14672,15045,15741,16133,15502
2024-2028,5,2024,79619,83275,83485,81673,78996,75697,73735,75432,77144,79544,79696,79665,78978
2024-2028,5,2025,84900,86907,84247,82327,79533,77879,77548,79191,81271,82709,82755,82669,81795
2024-2028,5,2026,87634,88423,88493,85112,82186,80510,80146,81824,84006,85501,85580,85427,84547
2024-2028,5,2027,90461,91096,91168,87687,84674,82947,82573,84308,86552,88092,88174,88016,87122
2024-2028,5,2028,93180,93797,93909,90325,87223,85443,85062,86852,89163,90750,90833,90670,89754
